0,0
1.02314578,16521.73913
2.024769821,25113.04348
3.096828645,25113.04348
4.076585678,25443.47826
5.029526854,25443.47826
5.983158568,26104.34783
7.067762148,25443.47826
8.072608696,24452.17391
9.013005115,25113.04348
10.03246803,25443.47826
11.05457801,40973.91304
12.04964194,43286.95652
13.04297954,43947.82609
14.02273657,44278.26087
15.0815601,44278.26087
16.03691816,46591.30435
17.06685422,44278.26087
17.99367008,44608.69565
19.01209719,43947.82609
20.11097187,44278.26087
21.00118926,47582.6087
21.99314578,46921.73913
22.97324808,47582.6087
24.04461637,46921.73913
25.02725064,37339.13043
26.03278772,37008.69565
26.95925831,37008.69565
28.0448977,37339.13043
28.99852941,38000
30.13710997,38330.43478
30.98382353,38000
32.04195652,37339.13043
33.04749361,37008.69565
33.99974425,36347.82609
35.0056266,36347.82609
36.00517903,4956.521739
